SCATS Number,Longitude,Latitude,Nearest Neighbors,Distances (km)
3126,145.09885,-37.82778,[3127 3122 3120 3180 3002 3001],"[1.0002210360215384, 4.0001481067830476, 6.000145789870443, 54.00001140653398, 124.00002170112916, 125.00002407509088]"
3127,145.078,-37.82506,[3126 3122 3120 3180 3002 3001],"[1.0002210360215384, 5.000017956817755, 7.000030906503199, 53.00000821529087, 125.00001096922271, 126.00001270415571]"
3180,145.08372,-37.79611,[3127 3126 3122 3120 3002 3001],"[53.00000821529087, 54.00001140653398, 58.00000973677505, 60.00001166454303, 178.00001014594494, 179.00001142836302]"
3662,145.02757,-37.80876,[3682 3685 3804 3812 4030 4032],"[20.000140344820082, 23.000141291761665, 142.00000641095937, 150.0000064980292, 368.0000018936496, 370.0000015961048]"
3682,145.09699,-37.83695,[3685 3662 3804 3812 4030 4032],"[3.000053986330913, 20.000140344820082, 122.00000493803269, 130.00000493009568, 348.0000041636005, 350.00000356574753]"
3685,145.09384,-37.85467,[3682 3662 3804 3812 4030 4032],"[3.000053986330913, 23.000141291761665, 119.00000605179186, 127.00000537388414, 345.0000064777572, 347.000005522806]"
3804,145.06247,-37.83331,[3812 3685 3682 3662 4030 4032],"[8.000001137706167, 119.00000605179186, 122.00000493803269, 142.00000641095937, 226.00000314445043, 228.00000215022828]"
3812,145.06119,-37.83738,[3804 3685 3682 3662 4030 4032],"[8.000001137706167, 127.00000537388414, 130.00000493009568, 150.0000064980292, 218.00000400567725, 220.0000028416727]"
4030,145.06251,-37.79561,[4032 4034 4035 4040 4043 4051],"[2.0000106563966105, 4.000032605129613, 5.0000486173995595, 10.000070757054672, 13.0001045667333, 21.00000124486901]"
4032,145.06127,-37.80202,[4030 4034 4035 4040 4043 4051],"[2.0000106563966105, 2.0000231445160828, 3.000040147827234, 8.000060410021915, 11.00009456897985, 19.00000343941548]"
4034,145.05946,-37.81147,[4035 4032 4030 4040 4043 4051],"[1.0000173978492826, 2.0000231445160828, 4.000032605129613, 6.000038405560417, 9.000071963806734, 17.000011806407663]"
4035,145.0583603,-37.8172654,[4034 4032 4040 4030 4043 4051],"[1.0000173978492826, 3.000040147827234, 5.0000242394047705, 5.0000486173995595, 8.000056596114758, 16.000020587641167]"
4040,145.05545,-37.83256,[4043 4035 4034 4032 4030 4051],"[3.0000351536107037, 5.0000242394047705, 6.000038405560417, 8.000060410021915, 10.000070757054672, 11.000076021528216]"
4043,145.05275,-37.84683,[4040 4035 4051 4034 4032 4030],"[3.0000351536107037, 8.000056596114758, 8.000190928477895, 9.000071963806734, 11.00009456897985, 13.0001045667333]"
4051,145.0696,-37.79419,[4057 4043 4040 4063 4035 4034],"[6.000021285903909, 8.000190928477895, 11.000076021528216, 12.000021011335772, 16.000020587641167, 17.000011806407663]"
4057,145.08197,-37.80431,[4063 4051 4043 4040 4035 4034],"[6.000008180811089, 6.000021285903909, 14.00009506249154, 17.00004415796912, 22.00001648318299, 23.00001212968593]"
4063,145.0801,-37.81404,[4057 4051 4043 4040 4035 4034],"[6.000008180811089, 12.000021011335772, 20.00004558011306, 23.00002066548854, 28.000008625315836, 29.00000745886973]"
4262,145.01503,-37.82155,[4263 4264 4266 4270 4272 4273],"[1.0000518356440733, 2.000092187675358, 4.000099505924822, 8.00002423256955, 10.000055400776539, 11.000065459596138]"
4263,145.0251292,-37.8228462,[4264 4262 4266 4270 4272 4273],"[1.0000406918996245, 1.0000518356440733, 3.000054194449007, 7.000007641923477, 9.000030315814001, 10.000044943480358]"
4264,145.03409,-37.82389,[4263 4266 4262 4270 4272 4273],"[1.0000406918996245, 2.0000203075219014, 2.000092187675358, 6.000002723907715, 8.000013876800464, 9.00003316666111]"
4266,145.04301,-37.82518,[4264 4263 4270 4262 4272 4273],"[2.0000203075219014, 3.000054194449007, 4.000014768697736, 4.000099505924822, 6.000004840939714, 7.000031963677023]"
4270,145.03304,-37.82951,[4272 4273 4266 4264 4263 4262],"[2.0000478924515783, 3.000066319883612, 4.000014768697736, 6.000002723907715, 7.000007641923477, 8.00002423256955]"
4272,145.04668,-37.83186,[4273 4270 4266 4264 4263 4262],"[1.0001087448872747, 2.0000478924515783, 6.000004840939714, 8.000013876800464, 9.000030315814001, 10.000055400776539]"
4273,145.04378,-37.84632,[4272 4270 4266 4264 4263 4262],"[1.0001087448872747, 3.000066319883612, 7.000031963677023, 9.00003316666111, 10.000044943480358, 11.000065459596138]"
4321,145.0494611,-37.800776,[4324 4335 4273 4272 4270 4266],"[3.000036660186007, 14.000008350180124, 48.0000219430245, 49.00000993825994, 51.0000107381879, 55.00000579247158]"
4324,145.037306,-37.809274,[4321 4335 4273 4272 4270 4266],"[3.000036660186007, 11.000000623865073, 51.000013865868624, 52.00000574999268, 54.000003960133675, 58.000002461521085]"
4335,145.03518,-37.80624,[4324 4321 4273 4272 4270 4266],"[11.000000623865073, 14.000008350180124, 62.00001355134045, 63.000006259002866, 65.00000420055756, 69.00000304371369]"
4812,145.01644,-37.82859,[4821 4335 4324 4321 4273 4272],"[9.000017274988977, 477.00000089172966, 488.0000008283789, 491.0000018981789, 539.0000009849987, 540.0000008566209]"
4821,145.00849,-37.81285,[4812 4335 4324 4321 4273 4272],"[9.000017274988977, 486.0000007778274, 497.0000008482391, 500.0000018244125, 548.0000021584169, 549.0000016574282]"
