Location,VR Internal Loc,Date,Time,Vehicle Count
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,00:00:00,0
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,00:00:00,44
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,00:00:00,25
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,00:00:00,86
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,00:15:00,0
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,00:15:00,50
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,00:15:00,28
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,00:15:00,86
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,00:30:00,0
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,00:30:00,49
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,00:30:00,21
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,00:30:00,89
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,00:45:00,0
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,00:45:00,42
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,00:45:00,15
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,00:45:00,74
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,01:00:00,0
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,01:00:00,31
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,01:00:00,16
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,01:00:00,73
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,01:15:00,1
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,01:15:00,44
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,01:15:00,15
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,01:15:00,74
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,01:30:00,0
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,01:30:00,33
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,01:30:00,7
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,01:30:00,69
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,01:45:00,0
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,01:45:00,30
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,01:45:00,12
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,01:45:00,60
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,02:00:00,0
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,02:00:00,33
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,02:00:00,7
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,02:00:00,64
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,02:15:00,1
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,02:15:00,29
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,02:15:00,5
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,02:15:00,63
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,02:30:00,0
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,02:30:00,33
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,02:30:00,6
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,02:30:00,53
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,02:45:00,0
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,02:45:00,23
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,02:45:00,6
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,02:45:00,37
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,03:00:00,0
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,03:00:00,26
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,03:00:00,6
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,03:00:00,50
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,03:15:00,1
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,03:15:00,26
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,03:15:00,6
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,03:15:00,42
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,03:30:00,1
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,03:30:00,31
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,03:30:00,7
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,03:30:00,45
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,03:45:00,0
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,03:45:00,21
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,03:45:00,11
VICTORIA_ST W OF BURNLEY_ST,7,2006-10-01,03:45:00,37
WALMER_ST N OF VICTORIA_ST,1,2006-10-01,04:00:00,0
VICTORIA_ST E OF BURNLEY_ST,3,2006-10-01,04:00:00,17
BURNLEY_ST S OF VICTORIA_ST,5,2006-10-01,04:00:00,6
