Location,VR Internal Loc,Date,Time,Vehicle Count
BURKE_RD N of TOORAK_RD,1,2006-10-01,00:00:00,72
TOORAK_RD E of BURKE_RD,3,2006-10-01,00:00:00,68
BURKE_RD S of TOORAK_RD,5,2006-10-01,00:00:00,74
TOORAK_RD W OF BURKE_RD,7,2006-10-01,00:00:00,83
BURKE_RD N of TOORAK_RD,1,2006-10-01,00:15:00,74
TOORAK_RD E of BURKE_RD,3,2006-10-01,00:15:00,70
BURKE_RD S of TOORAK_RD,5,2006-10-01,00:15:00,83
TOORAK_RD W OF BURKE_RD,7,2006-10-01,00:15:00,92
BURKE_RD N of TOORAK_RD,1,2006-10-01,00:30:00,74
TOORAK_RD E of BURKE_RD,3,2006-10-01,00:30:00,42
BURKE_RD S of TOORAK_RD,5,2006-10-01,00:30:00,77
TOORAK_RD W OF BURKE_RD,7,2006-10-01,00:30:00,99
BURKE_RD N of TOORAK_RD,1,2006-10-01,00:45:00,64
TOORAK_RD E of BURKE_RD,3,2006-10-01,00:45:00,40
BURKE_RD S of TOORAK_RD,5,2006-10-01,00:45:00,68
TOORAK_RD W OF BURKE_RD,7,2006-10-01,00:45:00,77
BURKE_RD N of TOORAK_RD,1,2006-10-01,01:00:00,50
TOORAK_RD E of BURKE_RD,3,2006-10-01,01:00:00,42
BURKE_RD S of TOORAK_RD,5,2006-10-01,01:00:00,44
TOORAK_RD W OF BURKE_RD,7,2006-10-01,01:00:00,78
BURKE_RD N of TOORAK_RD,1,2006-10-01,01:15:00,49
TOORAK_RD E of BURKE_RD,3,2006-10-01,01:15:00,43
BURKE_RD S of TOORAK_RD,5,2006-10-01,01:15:00,38
TOORAK_RD W OF BURKE_RD,7,2006-10-01,01:15:00,75
BURKE_RD N of TOORAK_RD,1,2006-10-01,01:30:00,40
TOORAK_RD E of BURKE_RD,3,2006-10-01,01:30:00,34
BURKE_RD S of TOORAK_RD,5,2006-10-01,01:30:00,35
TOORAK_RD W OF BURKE_RD,7,2006-10-01,01:30:00,75
BURKE_RD N of TOORAK_RD,1,2006-10-01,01:45:00,41
TOORAK_RD E of BURKE_RD,3,2006-10-01,01:45:00,28
BURKE_RD S of TOORAK_RD,5,2006-10-01,01:45:00,42
TOORAK_RD W OF BURKE_RD,7,2006-10-01,01:45:00,49
BURKE_RD N of TOORAK_RD,1,2006-10-01,02:00:00,26
TOORAK_RD E of BURKE_RD,3,2006-10-01,02:00:00,36
