Location,Date,Time,Vehicle Count
WALMER_ST N OF VICTORIA_ST,2006-10-01,0:00,0
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,0:00,44
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,0:00,25
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,0:00,86
WALMER_ST N OF VICTORIA_ST,2006-10-01,0:15,0
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,0:15,50
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,0:15,28
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,0:15,86
WALMER_ST N OF VICTORIA_ST,2006-10-01,0:30,0
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,0:30,49
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,0:30,21
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,0:30,89
WALMER_ST N OF VICTORIA_ST,2006-10-01,0:45,0
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,0:45,42
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,0:45,15
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,0:45,74
WALMER_ST N OF VICTORIA_ST,2006-10-01,10:00,10
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,10:00,148
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,10:00,56
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,10:00,138
WALMER_ST N OF VICTORIA_ST,2006-10-01,10:15,3
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,10:15,162
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,10:15,80
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,10:15,120
WALMER_ST N OF VICTORIA_ST,2006-10-01,10:30,5
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,10:30,184
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,10:30,80
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,10:30,172
WALMER_ST N OF VICTORIA_ST,2006-10-01,10:45,10
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,10:45,159
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,10:45,93
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,10:45,157
WALMER_ST N OF VICTORIA_ST,2006-10-01,11:00,13
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,11:00,186
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,11:00,68
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,11:00,159
WALMER_ST N OF VICTORIA_ST,2006-10-01,11:15,24
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,11:15,165
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,11:15,78
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,11:15,161
WALMER_ST N OF VICTORIA_ST,2006-10-01,11:30,6
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,11:30,204
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,11:30,91
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,11:30,178
WALMER_ST N OF VICTORIA_ST,2006-10-01,11:45,7
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,11:45,228
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,11:45,89
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,11:45,184
WALMER_ST N OF VICTORIA_ST,2006-10-01,12:00,5
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,12:00,199
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,12:00,101
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,12:00,180
WALMER_ST N OF VICTORIA_ST,2006-10-01,12:15,16
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,12:15,217
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,12:15,93
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,12:15,182
WALMER_ST N OF VICTORIA_ST,2006-10-01,12:30,7
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,12:30,224
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,12:30,101
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,12:30,214
WALMER_ST N OF VICTORIA_ST,2006-10-01,12:45,8
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,12:45,232
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,12:45,100
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,12:45,185
WALMER_ST N OF VICTORIA_ST,2006-10-01,13:00,2
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,13:00,210
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,13:00,132
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,13:00,215
WALMER_ST N OF VICTORIA_ST,2006-10-01,13:15,4
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,13:15,237
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,13:15,117
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,13:15,193
WALMER_ST N OF VICTORIA_ST,2006-10-01,13:30,7
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,13:30,238
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,13:30,98
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,13:30,193
WALMER_ST N OF VICTORIA_ST,2006-10-01,13:45,3
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,13:45,229
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,13:45,120
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,13:45,223
WALMER_ST N OF VICTORIA_ST,2006-10-01,14:00,5
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,14:00,198
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,14:00,100
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,14:00,200
WALMER_ST N OF VICTORIA_ST,2006-10-01,14:15,3
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,14:15,215
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,14:15,94
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,14:15,231
WALMER_ST N OF VICTORIA_ST,2006-10-01,14:30,6
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,14:30,228
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,14:30,95
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,14:30,187
WALMER_ST N OF VICTORIA_ST,2006-10-01,14:45,7
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,14:45,230
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,14:45,114
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,14:45,222
WALMER_ST N OF VICTORIA_ST,2006-10-01,15:00,10
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,15:00,191
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,15:00,107
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,15:00,236
WALMER_ST N OF VICTORIA_ST,2006-10-01,15:15,9
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,15:15,218
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,15:15,98
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,15:15,209
WALMER_ST N OF VICTORIA_ST,2006-10-01,15:30,5
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,15:30,228
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,15:30,110
VICTORIA_ST W OF BURNLEY_ST,2006-10-01,15:30,193
WALMER_ST N OF VICTORIA_ST,2006-10-01,15:45,5
VICTORIA_ST E OF BURNLEY_ST,2006-10-01,15:45,248
BURNLEY_ST S OF VICTORIA_ST,2006-10-01,15:45,87
