Location,Date,Time,Vehicle Count
HIGH_ST NE OF HARP_ST,2006-10-01,0:00,26
HARP_RD E OF HIGH_ST,2006-10-01,0:00,24
HIGH_ST SW OF HARP_ST,2006-10-01,0:00,52
VALERIE_ST W OF HIGH_ST,2006-10-01,0:00,23
HIGH_ST NE OF HARP_ST,2006-10-01,0:15,21
HARP_RD E OF HIGH_ST,2006-10-01,0:15,23
HIGH_ST SW OF HARP_ST,2006-10-01,0:15,44
VALERIE_ST W OF HIGH_ST,2006-10-01,0:15,21
HIGH_ST NE OF HARP_ST,2006-10-01,0:30,27
HARP_RD E OF HIGH_ST,2006-10-01,0:30,19
HIGH_ST SW OF HARP_ST,2006-10-01,0:30,44
VALERIE_ST W OF HIGH_ST,2006-10-01,0:30,23
HIGH_ST NE OF HARP_ST,2006-10-01,0:45,24
HARP_RD E OF HIGH_ST,2006-10-01,0:45,12
HIGH_ST SW OF HARP_ST,2006-10-01,0:45,44
VALERIE_ST W OF HIGH_ST,2006-10-01,0:45,20
HIGH_ST NE OF HARP_ST,2006-10-01,10:00,69
HARP_RD E OF HIGH_ST,2006-10-01,10:00,69
HIGH_ST SW OF HARP_ST,2006-10-01,10:00,77
VALERIE_ST W OF HIGH_ST,2006-10-01,10:00,67
HIGH_ST NE OF HARP_ST,2006-10-01,10:15,79
HARP_RD E OF HIGH_ST,2006-10-01,10:15,71
HIGH_ST SW OF HARP_ST,2006-10-01,10:15,68
VALERIE_ST W OF HIGH_ST,2006-10-01,10:15,72
HIGH_ST NE OF HARP_ST,2006-10-01,10:30,82
HARP_RD E OF HIGH_ST,2006-10-01,10:30,67
HIGH_ST SW OF HARP_ST,2006-10-01,10:30,90
VALERIE_ST W OF HIGH_ST,2006-10-01,10:30,61
HIGH_ST NE OF HARP_ST,2006-10-01,10:45,73
HARP_RD E OF HIGH_ST,2006-10-01,10:45,81
HIGH_ST SW OF HARP_ST,2006-10-01,10:45,76
VALERIE_ST W OF HIGH_ST,2006-10-01,10:45,46
HIGH_ST NE OF HARP_ST,2006-10-01,11:00,97
HARP_RD E OF HIGH_ST,2006-10-01,11:00,88
HIGH_ST SW OF HARP_ST,2006-10-01,11:00,69
VALERIE_ST W OF HIGH_ST,2006-10-01,11:00,69
HIGH_ST NE OF HARP_ST,2006-10-01,11:15,97
HARP_RD E OF HIGH_ST,2006-10-01,11:15,58
HIGH_ST SW OF HARP_ST,2006-10-01,11:15,85
VALERIE_ST W OF HIGH_ST,2006-10-01,11:15,63
HIGH_ST NE OF HARP_ST,2006-10-01,11:30,94
HARP_RD E OF HIGH_ST,2006-10-01,11:30,93
HIGH_ST SW OF HARP_ST,2006-10-01,11:30,102
VALERIE_ST W OF HIGH_ST,2006-10-01,11:30,70
HIGH_ST NE OF HARP_ST,2006-10-01,11:45,77
HARP_RD E OF HIGH_ST,2006-10-01,11:45,71
HIGH_ST SW OF HARP_ST,2006-10-01,11:45,100
VALERIE_ST W OF HIGH_ST,2006-10-01,11:45,76
HIGH_ST NE OF HARP_ST,2006-10-01,12:00,87
HARP_RD E OF HIGH_ST,2006-10-01,12:00,72
HIGH_ST SW OF HARP_ST,2006-10-01,12:00,105
VALERIE_ST W OF HIGH_ST,2006-10-01,12:00,70
HIGH_ST NE OF HARP_ST,2006-10-01,12:15,95
HARP_RD E OF HIGH_ST,2006-10-01,12:15,91
HIGH_ST SW OF HARP_ST,2006-10-01,12:15,102
VALERIE_ST W OF HIGH_ST,2006-10-01,12:15,77
HIGH_ST NE OF HARP_ST,2006-10-01,12:30,74
HARP_RD E OF HIGH_ST,2006-10-01,12:30,96
HIGH_ST SW OF HARP_ST,2006-10-01,12:30,110
VALERIE_ST W OF HIGH_ST,2006-10-01,12:30,77
HIGH_ST NE OF HARP_ST,2006-10-01,12:45,78
HARP_RD E OF HIGH_ST,2006-10-01,12:45,102
HIGH_ST SW OF HARP_ST,2006-10-01,12:45,103
VALERIE_ST W OF HIGH_ST,2006-10-01,12:45,69
HIGH_ST NE OF HARP_ST,2006-10-01,13:00,71
HARP_RD E OF HIGH_ST,2006-10-01,13:00,91
HIGH_ST SW OF HARP_ST,2006-10-01,13:00,100
VALERIE_ST W OF HIGH_ST,2006-10-01,13:00,68
HIGH_ST NE OF HARP_ST,2006-10-01,13:15,78
HARP_RD E OF HIGH_ST,2006-10-01,13:15,89
HIGH_ST SW OF HARP_ST,2006-10-01,13:15,96
VALERIE_ST W OF HIGH_ST,2006-10-01,13:15,75
HIGH_ST NE OF HARP_ST,2006-10-01,13:30,87
HARP_RD E OF HIGH_ST,2006-10-01,13:30,96
HIGH_ST SW OF HARP_ST,2006-10-01,13:30,94
VALERIE_ST W OF HIGH_ST,2006-10-01,13:30,59
HIGH_ST NE OF HARP_ST,2006-10-01,13:45,81
HARP_RD E OF HIGH_ST,2006-10-01,13:45,84
HIGH_ST SW OF HARP_ST,2006-10-01,13:45,103
VALERIE_ST W OF HIGH_ST,2006-10-01,13:45,76
HIGH_ST NE OF HARP_ST,2006-10-01,14:00,80
HARP_RD E OF HIGH_ST,2006-10-01,14:00,96
HIGH_ST SW OF HARP_ST,2006-10-01,14:00,119
VALERIE_ST W OF HIGH_ST,2006-10-01,14:00,69
HIGH_ST NE OF HARP_ST,2006-10-01,14:15,75
HARP_RD E OF HIGH_ST,2006-10-01,14:15,92
HIGH_ST SW OF HARP_ST,2006-10-01,14:15,81
VALERIE_ST W OF HIGH_ST,2006-10-01,14:15,76
HIGH_ST NE OF HARP_ST,2006-10-01,14:30,76
HARP_RD E OF HIGH_ST,2006-10-01,14:30,75
HIGH_ST SW OF HARP_ST,2006-10-01,14:30,89
VALERIE_ST W OF HIGH_ST,2006-10-01,14:30,59
HIGH_ST NE OF HARP_ST,2006-10-01,14:45,83
HARP_RD E OF HIGH_ST,2006-10-01,14:45,85
HIGH_ST SW OF HARP_ST,2006-10-01,14:45,107
VALERIE_ST W OF HIGH_ST,2006-10-01,14:45,72
HIGH_ST NE OF HARP_ST,2006-10-01,15:00,75
HARP_RD E OF HIGH_ST,2006-10-01,15:00,73
