Location,Date,Time,Vehicle Count
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,0:00,85
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,0:00,45
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,0:00,101
COTHAM_RD W OF BURKE_RD,2006-10-01,0:00,37
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,0:15,77
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,0:15,26
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,0:15,105
COTHAM_RD W OF BURKE_RD,2006-10-01,0:15,25
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,0:30,66
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,0:30,37
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,0:30,80
COTHAM_RD W OF BURKE_RD,2006-10-01,0:30,33
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,0:45,55
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,0:45,25
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,0:45,78
COTHAM_RD W OF BURKE_RD,2006-10-01,0:45,30
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,10:00,211
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,10:00,81
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,10:00,175
COTHAM_RD W OF BURKE_RD,2006-10-01,10:00,76
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,10:15,225
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,10:15,75
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,10:15,153
COTHAM_RD W OF BURKE_RD,2006-10-01,10:15,74
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,10:30,196
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,10:30,106
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,10:30,185
COTHAM_RD W OF BURKE_RD,2006-10-01,10:30,91
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,10:45,197
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,10:45,108
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,10:45,171
COTHAM_RD W OF BURKE_RD,2006-10-01,10:45,79
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,11:00,202
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,11:00,109
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,11:00,198
COTHAM_RD W OF BURKE_RD,2006-10-01,11:00,82
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,11:15,194
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,11:15,113
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,11:15,185
COTHAM_RD W OF BURKE_RD,2006-10-01,11:15,76
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,11:30,183
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,11:30,142
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,11:30,178
COTHAM_RD W OF BURKE_RD,2006-10-01,11:30,99
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,11:45,183
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,11:45,106
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,11:45,197
COTHAM_RD W OF BURKE_RD,2006-10-01,11:45,96
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,12:00,216
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,12:00,101
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,12:00,228
COTHAM_RD W OF BURKE_RD,2006-10-01,12:00,87
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,12:15,234
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,12:15,144
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,12:15,202
COTHAM_RD W OF BURKE_RD,2006-10-01,12:15,103
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,12:30,211
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,12:30,130
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,12:30,249
COTHAM_RD W OF BURKE_RD,2006-10-01,12:30,79
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,12:45,220
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,12:45,109
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,12:45,237
COTHAM_RD W OF BURKE_RD,2006-10-01,12:45,116
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,13:00,196
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,13:00,107
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,13:00,243
COTHAM_RD W OF BURKE_RD,2006-10-01,13:00,90
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,13:15,201
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,13:15,111
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,13:15,181
COTHAM_RD W OF BURKE_RD,2006-10-01,13:15,109
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,13:30,255
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,13:30,132
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,13:30,219
COTHAM_RD W OF BURKE_RD,2006-10-01,13:30,89
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,13:45,191
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,13:45,153
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,13:45,226
COTHAM_RD W OF BURKE_RD,2006-10-01,13:45,96
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,14:00,221
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,14:00,114
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,14:00,248
COTHAM_RD W OF BURKE_RD,2006-10-01,14:00,110
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,14:15,226
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,14:15,112
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,14:15,188
COTHAM_RD W OF BURKE_RD,2006-10-01,14:15,99
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,14:30,182
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,14:30,145
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,14:30,222
COTHAM_RD W OF BURKE_RD,2006-10-01,14:30,93
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,14:45,191
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,14:45,125
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,14:45,202
COTHAM_RD W OF BURKE_RD,2006-10-01,14:45,96
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,15:00,171
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,15:00,107
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,15:00,200
COTHAM_RD W OF BURKE_RD,2006-10-01,15:00,104
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,15:15,211
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,15:15,106
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,15:15,199
COTHAM_RD W OF BURKE_RD,2006-10-01,15:15,104
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,15:30,194
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,15:30,127
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,15:30,209
COTHAM_RD W OF BURKE_RD,2006-10-01,15:30,107
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,15:45,194
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,15:45,121
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,15:45,237
COTHAM_RD W OF BURKE_RD,2006-10-01,15:45,110
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,16:00,193
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,16:00,115
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,16:00,243
COTHAM_RD W OF BURKE_RD,2006-10-01,16:00,81
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,16:15,185
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,16:15,106
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,16:15,196
COTHAM_RD W OF BURKE_RD,2006-10-01,16:15,96
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,16:30,194
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,16:30,147
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,16:30,215
COTHAM_RD W OF BURKE_RD,2006-10-01,16:30,98
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,16:45,187
WHITEHORSE_RD E OF BURKE_RD,2006-10-01,16:45,118
BURKE_RD S OF WHITEHORSE_RD,2006-10-01,16:45,219
COTHAM_RD W OF BURKE_RD,2006-10-01,16:45,102
BURKE_RD N OF WHITEHORSE_RD,2006-10-01,17:00,217
