Location,Date,Time,Vehicle Count
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,0:00,43
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,0:00,67
HIGH_ST W OF WILLS_ST,2006-10-01,0:00,66
WILLS_ST NW OF HIGH_ST,2006-10-01,0:00,1
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,0:15,33
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,0:15,42
HIGH_ST W OF WILLS_ST,2006-10-01,0:15,44
WILLS_ST NW OF HIGH_ST,2006-10-01,0:15,2
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,0:30,34
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,0:30,42
HIGH_ST W OF WILLS_ST,2006-10-01,0:30,40
WILLS_ST NW OF HIGH_ST,2006-10-01,0:30,1
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,0:45,33
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,0:45,35
HIGH_ST W OF WILLS_ST,2006-10-01,0:45,37
WILLS_ST NW OF HIGH_ST,2006-10-01,0:45,0
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,10:00,42
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,10:00,151
HIGH_ST W OF WILLS_ST,2006-10-01,10:00,105
WILLS_ST NW OF HIGH_ST,2006-10-01,10:00,3
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,10:15,37
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,10:15,174
HIGH_ST W OF WILLS_ST,2006-10-01,10:15,97
WILLS_ST NW OF HIGH_ST,2006-10-01,10:15,11
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,10:30,37
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,10:30,146
HIGH_ST W OF WILLS_ST,2006-10-01,10:30,86
WILLS_ST NW OF HIGH_ST,2006-10-01,10:30,1
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,10:45,48
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,10:45,168
HIGH_ST W OF WILLS_ST,2006-10-01,10:45,113
WILLS_ST NW OF HIGH_ST,2006-10-01,10:45,10
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,11:00,45
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,11:00,140
HIGH_ST W OF WILLS_ST,2006-10-01,11:00,104
WILLS_ST NW OF HIGH_ST,2006-10-01,11:00,9
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,11:15,47
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,11:15,184
HIGH_ST W OF WILLS_ST,2006-10-01,11:15,140
WILLS_ST NW OF HIGH_ST,2006-10-01,11:15,4
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,11:30,60
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,11:30,153
HIGH_ST W OF WILLS_ST,2006-10-01,11:30,132
WILLS_ST NW OF HIGH_ST,2006-10-01,11:30,7
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,11:45,59
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,11:45,149
HIGH_ST W OF WILLS_ST,2006-10-01,11:45,139
WILLS_ST NW OF HIGH_ST,2006-10-01,11:45,9
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,12:00,41
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,12:00,169
HIGH_ST W OF WILLS_ST,2006-10-01,12:00,149
WILLS_ST NW OF HIGH_ST,2006-10-01,12:00,17
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,12:15,70
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,12:15,186
HIGH_ST W OF WILLS_ST,2006-10-01,12:15,142
WILLS_ST NW OF HIGH_ST,2006-10-01,12:15,7
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,12:30,58
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,12:30,161
HIGH_ST W OF WILLS_ST,2006-10-01,12:30,125
WILLS_ST NW OF HIGH_ST,2006-10-01,12:30,11
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,12:45,54
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,12:45,179
HIGH_ST W OF WILLS_ST,2006-10-01,12:45,194
WILLS_ST NW OF HIGH_ST,2006-10-01,12:45,5
S.E.ARTERIAL N OF HIGH_ST,2006-10-01,13:00,72
HIGH_ST E OF S.E.ARTERIAL,2006-10-01,13:00,166
HIGH_ST W OF WILLS_ST,2006-10-01,13:00,130
