Location,Date,Time,Vehicle Count
DONCASTER_RD E of BULLEEN_RD,2006-10-01,0:00,23
SEVERN_ST S of DONCASTER_RD,2006-10-01,0:00,3
DONCASTER_RD SW of SEVERN_ST,2006-10-01,0:00,36
DONCASTER_RD E of BULLEEN_RD,2006-10-01,0:15,42
SEVERN_ST S of DONCASTER_RD,2006-10-01,0:15,3
DONCASTER_RD SW of SEVERN_ST,2006-10-01,0:15,45
DONCASTER_RD E of BULLEEN_RD,2006-10-01,0:30,34
SEVERN_ST S of DONCASTER_RD,2006-10-01,0:30,2
DONCASTER_RD SW of SEVERN_ST,2006-10-01,0:30,46
DONCASTER_RD E of BULLEEN_RD,2006-10-01,0:45,22
SEVERN_ST S of DONCASTER_RD,2006-10-01,0:45,1
DONCASTER_RD SW of SEVERN_ST,2006-10-01,0:45,27
DONCASTER_RD E of BULLEEN_RD,2006-10-01,10:00,91
SEVERN_ST S of DONCASTER_RD,2006-10-01,10:00,11
DONCASTER_RD SW of SEVERN_ST,2006-10-01,10:00,55
DONCASTER_RD E of BULLEEN_RD,2006-10-01,10:15,93
SEVERN_ST S of DONCASTER_RD,2006-10-01,10:15,22
DONCASTER_RD SW of SEVERN_ST,2006-10-01,10:15,60
DONCASTER_RD E of BULLEEN_RD,2006-10-01,10:30,98
SEVERN_ST S of DONCASTER_RD,2006-10-01,10:30,22
DONCASTER_RD SW of SEVERN_ST,2006-10-01,10:30,62
DONCASTER_RD E of BULLEEN_RD,2006-10-01,10:45,123
SEVERN_ST S of DONCASTER_RD,2006-10-01,10:45,14
DONCASTER_RD SW of SEVERN_ST,2006-10-01,10:45,62
DONCASTER_RD E of BULLEEN_RD,2006-10-01,11:00,94
SEVERN_ST S of DONCASTER_RD,2006-10-01,11:00,12
DONCASTER_RD SW of SEVERN_ST,2006-10-01,11:00,65
DONCASTER_RD E of BULLEEN_RD,2006-10-01,11:15,94
SEVERN_ST S of DONCASTER_RD,2006-10-01,11:15,14
DONCASTER_RD SW of SEVERN_ST,2006-10-01,11:15,68
DONCASTER_RD E of BULLEEN_RD,2006-10-01,11:30,103
SEVERN_ST S of DONCASTER_RD,2006-10-01,11:30,25
DONCASTER_RD SW of SEVERN_ST,2006-10-01,11:30,74
DONCASTER_RD E of BULLEEN_RD,2006-10-01,11:45,128
SEVERN_ST S of DONCASTER_RD,2006-10-01,11:45,29
DONCASTER_RD SW of SEVERN_ST,2006-10-01,11:45,83
DONCASTER_RD E of BULLEEN_RD,2006-10-01,12:00,123
SEVERN_ST S of DONCASTER_RD,2006-10-01,12:00,18
DONCASTER_RD SW of SEVERN_ST,2006-10-01,12:00,62
DONCASTER_RD E of BULLEEN_RD,2006-10-01,12:15,135
SEVERN_ST S of DONCASTER_RD,2006-10-01,12:15,19
DONCASTER_RD SW of SEVERN_ST,2006-10-01,12:15,97
DONCASTER_RD E of BULLEEN_RD,2006-10-01,12:30,119
SEVERN_ST S of DONCASTER_RD,2006-10-01,12:30,15
DONCASTER_RD SW of SEVERN_ST,2006-10-01,12:30,78
DONCASTER_RD E of BULLEEN_RD,2006-10-01,12:45,105
SEVERN_ST S of DONCASTER_RD,2006-10-01,12:45,20
