Location,Date,Time,Vehicle Count
EARL_ST SE of PRINCESS_ST,2006-10-01,0:00,30
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,0:00,84
EARL_ST SE of PRINCESS_ST,2006-10-01,0:15,34
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,0:15,75
EARL_ST SE of PRINCESS_ST,2006-10-01,0:30,24
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,0:30,73
EARL_ST SE of PRINCESS_ST,2006-10-01,0:45,22
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,0:45,50
EARL_ST SE of PRINCESS_ST,2006-10-01,10:00,95
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,10:00,134
EARL_ST SE of PRINCESS_ST,2006-10-01,10:15,109
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,10:15,131
EARL_ST SE of PRINCESS_ST,2006-10-01,10:30,110
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,10:30,147
EARL_ST SE of PRINCESS_ST,2006-10-01,10:45,116
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,10:45,183
EARL_ST SE of PRINCESS_ST,2006-10-01,11:00,90
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,11:00,173
EARL_ST SE of PRINCESS_ST,2006-10-01,11:15,117
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,11:15,199
EARL_ST SE of PRINCESS_ST,2006-10-01,11:30,115
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,11:30,171
EARL_ST SE of PRINCESS_ST,2006-10-01,11:45,112
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,11:45,200
EARL_ST SE of PRINCESS_ST,2006-10-01,12:00,112
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,12:00,210
EARL_ST SE of PRINCESS_ST,2006-10-01,12:15,112
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,12:15,199
EARL_ST SE of PRINCESS_ST,2006-10-01,12:30,128
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,12:30,201
EARL_ST SE of PRINCESS_ST,2006-10-01,12:45,134
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,12:45,193
EARL_ST SE of PRINCESS_ST,2006-10-01,13:00,114
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,13:00,189
EARL_ST SE of PRINCESS_ST,2006-10-01,13:15,117
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,13:15,205
EARL_ST SE of PRINCESS_ST,2006-10-01,13:30,101
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,13:30,229
EARL_ST SE of PRINCESS_ST,2006-10-01,13:45,134
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,13:45,189
EARL_ST SE of PRINCESS_ST,2006-10-01,14:00,110
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,14:00,165
EARL_ST SE of PRINCESS_ST,2006-10-01,14:15,106
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,14:15,197
EARL_ST SE of PRINCESS_ST,2006-10-01,14:30,106
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,14:30,215
EARL_ST SE of PRINCESS_ST,2006-10-01,14:45,101
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,14:45,202
EARL_ST SE of PRINCESS_ST,2006-10-01,15:00,114
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,15:00,194
EARL_ST SE of PRINCESS_ST,2006-10-01,15:15,92
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,15:15,185
EARL_ST SE of PRINCESS_ST,2006-10-01,15:30,113
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,15:30,192
EARL_ST SE of PRINCESS_ST,2006-10-01,15:45,106
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,15:45,204
EARL_ST SE of PRINCESS_ST,2006-10-01,16:00,110
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,16:00,201
EARL_ST SE of PRINCESS_ST,2006-10-01,16:15,107
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,16:15,219
EARL_ST SE of PRINCESS_ST,2006-10-01,16:30,116
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,16:30,200
EARL_ST SE of PRINCESS_ST,2006-10-01,16:45,107
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,16:45,222
EARL_ST SE of PRINCESS_ST,2006-10-01,17:00,106
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,17:00,218
EARL_ST SE of PRINCESS_ST,2006-10-01,17:15,101
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,17:15,232
EARL_ST SE of PRINCESS_ST,2006-10-01,17:30,100
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,17:30,249
EARL_ST SE of PRINCESS_ST,2006-10-01,17:45,109
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,17:45,222
EARL_ST SE of PRINCESS_ST,2006-10-01,18:00,92
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,18:00,207
EARL_ST SE of PRINCESS_ST,2006-10-01,18:15,90
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,18:15,180
EARL_ST SE of PRINCESS_ST,2006-10-01,18:30,85
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,18:30,179
EARL_ST SE of PRINCESS_ST,2006-10-01,18:45,73
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,18:45,153
EARL_ST SE of PRINCESS_ST,2006-10-01,19:00,60
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,19:00,136
EARL_ST SE of PRINCESS_ST,2006-10-01,19:15,64
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,19:15,111
EARL_ST SE of PRINCESS_ST,2006-10-01,19:30,57
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,19:30,112
EARL_ST SE of PRINCESS_ST,2006-10-01,19:45,41
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,19:45,102
EARL_ST SE of PRINCESS_ST,2006-10-01,1:00,23
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,1:00,46
EARL_ST SE of PRINCESS_ST,2006-10-01,1:15,17
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,1:15,43
EARL_ST SE of PRINCESS_ST,2006-10-01,1:30,15
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,1:30,33
EARL_ST SE of PRINCESS_ST,2006-10-01,1:45,17
PRINCESS_ST S of CHANDLER_HWY,2006-10-01,1:45,38
