Location,Date,Time,Vehicle Count
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,0:00,86
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,0:00,37
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,0:00,92
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,0:00,47
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,0:15,83
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,0:15,30
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,0:15,93
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,0:15,42
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,0:30,52
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,0:30,26
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,0:30,90
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,0:30,31
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,0:45,58
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,0:45,29
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,0:45,55
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,0:45,34
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,10:00,250
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,10:00,121
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,10:00,154
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,10:00,138
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,10:15,246
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,10:15,129
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,10:15,188
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,10:15,163
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,10:30,266
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,10:30,142
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,10:30,197
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,10:30,145
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,10:45,254
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,10:45,112
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,10:45,200
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,10:45,178
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,11:00,300
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,11:00,129
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,11:00,191
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,11:00,165
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,11:15,275
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,11:15,164
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,11:15,218
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,11:15,165
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,11:30,322
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,11:30,130
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,11:30,250
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,11:30,148
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,11:45,292
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,11:45,139
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,11:45,292
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,11:45,203
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,12:00,315
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,12:00,163
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,12:00,294
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,12:00,224
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,12:15,314
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,12:15,141
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,12:15,301
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,12:15,211
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,12:30,308
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,12:30,152
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,12:30,245
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,12:30,175
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,12:45,280
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,12:45,149
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,12:45,298
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,12:45,185
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,13:00,357
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,13:00,134
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,13:00,292
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,13:00,150
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,13:15,298
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,13:15,155
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,13:15,256
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,13:15,176
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,13:30,281
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,13:30,118
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,13:30,275
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,13:30,146
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,13:45,289
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,13:45,124
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,13:45,295
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,13:45,157
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,14:00,345
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,14:00,132
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,14:00,309
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,14:00,175
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,14:15,297
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,14:15,108
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,14:15,278
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,14:15,156
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,14:30,233
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,14:30,143
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,14:30,293
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,14:30,147
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,14:45,227
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,14:45,122
WARRIGAL_RD S of HIGH STREET_RD,2006-10-01,14:45,321
HIGH STREET_RD W of WARRIGAL_RD,2006-10-01,14:45,135
WARRIGAL_RD N of HIGH STREET_RD,2006-10-01,15:00,273
HIGH STREET_RD E of WARRIGAL_RD,2006-10-01,15:00,127
