Location,Date,Time,Vehicle Count
BURKE_RD S of DONCASTER_RD,2006-10-01,0:00,96
HIGH_ST SW of BURKE_RD,2006-10-01,0:00,38
KILBY_RD W of BURKE_RD,2006-10-01,0:00,8
BURKE_RD S of DONCASTER_RD,2006-10-01,0:15,96
HIGH_ST SW of BURKE_RD,2006-10-01,0:15,36
KILBY_RD W of BURKE_RD,2006-10-01,0:15,4
BURKE_RD S of DONCASTER_RD,2006-10-01,0:30,59
HIGH_ST SW of BURKE_RD,2006-10-01,0:30,41
KILBY_RD W of BURKE_RD,2006-10-01,0:30,6
BURKE_RD S of DONCASTER_RD,2006-10-01,0:45,67
HIGH_ST SW of BURKE_RD,2006-10-01,0:45,37
KILBY_RD W of BURKE_RD,2006-10-01,0:45,5
BURKE_RD S of DONCASTER_RD,2006-10-01,10:00,173
HIGH_ST SW of BURKE_RD,2006-10-01,10:00,53
KILBY_RD W of BURKE_RD,2006-10-01,10:00,23
BURKE_RD S of DONCASTER_RD,2006-10-01,10:15,163
HIGH_ST SW of BURKE_RD,2006-10-01,10:15,68
KILBY_RD W of BURKE_RD,2006-10-01,10:15,19
BURKE_RD S of DONCASTER_RD,2006-10-01,10:30,165
HIGH_ST SW of BURKE_RD,2006-10-01,10:30,80
KILBY_RD W of BURKE_RD,2006-10-01,10:30,26
BURKE_RD S of DONCASTER_RD,2006-10-01,10:45,188
HIGH_ST SW of BURKE_RD,2006-10-01,10:45,80
KILBY_RD W of BURKE_RD,2006-10-01,10:45,26
BURKE_RD S of DONCASTER_RD,2006-10-01,11:00,180
HIGH_ST SW of BURKE_RD,2006-10-01,11:00,75
KILBY_RD W of BURKE_RD,2006-10-01,11:00,18
BURKE_RD S of DONCASTER_RD,2006-10-01,11:15,161
HIGH_ST SW of BURKE_RD,2006-10-01,11:15,61
KILBY_RD W of BURKE_RD,2006-10-01,11:15,24
BURKE_RD S of DONCASTER_RD,2006-10-01,11:30,195
HIGH_ST SW of BURKE_RD,2006-10-01,11:30,79
KILBY_RD W of BURKE_RD,2006-10-01,11:30,19
BURKE_RD S of DONCASTER_RD,2006-10-01,11:45,191
HIGH_ST SW of BURKE_RD,2006-10-01,11:45,89
KILBY_RD W of BURKE_RD,2006-10-01,11:45,29
BURKE_RD S of DONCASTER_RD,2006-10-01,12:00,223
HIGH_ST SW of BURKE_RD,2006-10-01,12:00,79
KILBY_RD W of BURKE_RD,2006-10-01,12:00,38
BURKE_RD S of DONCASTER_RD,2006-10-01,12:15,229
HIGH_ST SW of BURKE_RD,2006-10-01,12:15,101
KILBY_RD W of BURKE_RD,2006-10-01,12:15,34
BURKE_RD S of DONCASTER_RD,2006-10-01,12:30,206
HIGH_ST SW of BURKE_RD,2006-10-01,12:30,90
KILBY_RD W of BURKE_RD,2006-10-01,12:30,27
BURKE_RD S of DONCASTER_RD,2006-10-01,12:45,243
HIGH_ST SW of BURKE_RD,2006-10-01,12:45,79
KILBY_RD W of BURKE_RD,2006-10-01,12:45,23
BURKE_RD S of DONCASTER_RD,2006-10-01,13:00,214
HIGH_ST SW of BURKE_RD,2006-10-01,13:00,96
KILBY_RD W of BURKE_RD,2006-10-01,13:00,38
BURKE_RD S of DONCASTER_RD,2006-10-01,13:15,203
HIGH_ST SW of BURKE_RD,2006-10-01,13:15,85
KILBY_RD W of BURKE_RD,2006-10-01,13:15,27
BURKE_RD S of DONCASTER_RD,2006-10-01,13:30,211
HIGH_ST SW of BURKE_RD,2006-10-01,13:30,71
KILBY_RD W of BURKE_RD,2006-10-01,13:30,29
BURKE_RD S of DONCASTER_RD,2006-10-01,13:45,227
HIGH_ST SW of BURKE_RD,2006-10-01,13:45,98
KILBY_RD W of BURKE_RD,2006-10-01,13:45,26
BURKE_RD S of DONCASTER_RD,2006-10-01,14:00,238
HIGH_ST SW of BURKE_RD,2006-10-01,14:00,88
KILBY_RD W of BURKE_RD,2006-10-01,14:00,25
BURKE_RD S of DONCASTER_RD,2006-10-01,14:15,225
HIGH_ST SW of BURKE_RD,2006-10-01,14:15,85
KILBY_RD W of BURKE_RD,2006-10-01,14:15,19
BURKE_RD S of DONCASTER_RD,2006-10-01,14:30,260
HIGH_ST SW of BURKE_RD,2006-10-01,14:30,64
KILBY_RD W of BURKE_RD,2006-10-01,14:30,19
BURKE_RD S of DONCASTER_RD,2006-10-01,14:45,227
HIGH_ST SW of BURKE_RD,2006-10-01,14:45,78
KILBY_RD W of BURKE_RD,2006-10-01,14:45,33
BURKE_RD S of DONCASTER_RD,2006-10-01,15:00,242
HIGH_ST SW of BURKE_RD,2006-10-01,15:00,75
KILBY_RD W of BURKE_RD,2006-10-01,15:00,26
BURKE_RD S of DONCASTER_RD,2006-10-01,15:15,210
HIGH_ST SW of BURKE_RD,2006-10-01,15:15,101
KILBY_RD W of BURKE_RD,2006-10-01,15:15,32
