Location,Date,Time,Vehicle Count
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,15:15,129
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,15:30,99
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,15:30,71
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,15:30,128
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,15:45,127
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,15:45,74
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,15:45,114
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,16:00,115
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,16:00,64
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,16:00,112
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,16:15,98
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,16:15,75
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,16:15,114
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,16:30,125
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,16:30,76
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,16:30,106
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,16:45,131
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,16:45,71
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,16:45,123
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,17:00,100
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,17:00,76
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,17:00,102
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,17:15,104
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,17:15,81
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,17:15,150
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,17:30,127
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,17:30,77
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,17:30,87
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,17:45,100
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,17:45,88
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,17:45,109
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,18:00,120
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,18:00,90
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,18:00,100
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,18:15,90
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,18:15,71
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,18:15,95
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,18:30,123
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,18:30,66
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,18:30,104
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,18:45,106
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,18:45,69
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,18:45,91
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,19:00,83
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,19:00,53
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,19:00,92
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,19:15,73
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,19:15,54
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,19:15,65
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,19:30,63
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,19:30,42
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,19:30,82
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,19:45,50
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,19:45,42
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,19:45,67
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,1:00,19
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,1:00,25
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,1:00,19
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,1:15,31
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,1:15,21
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,1:15,32
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,1:30,15
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,1:30,21
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,1:30,30
